"","ds","Google_Impressions","Facebook_Impressions","Affiliate_Impressions","Organic_Views","Email_Impressions","type","solID","cluster","top_sol"
"1",2018-01-06,408,73580,12072,422,349895.0107,"adstockedMedia","1_51_13",3,FALSE
"2",2018-01-13,176.00009520584,11944.7335170975,11828.7396126724,962.75281378684,553781.412212183,"adstockedMedia","1_51_13",3,FALSE
"3",2018-01-20,770.470644705447,52254.8462130831,19330.793509247,1104.03894974212,505238.471677139,"adstockedMedia","1_51_13",3,FALSE
"4",2018-01-27,189.635137019276,78739.9457501082,13937.5927255536,728.709466416154,486350.483300515,"adstockedMedia","1_51_13",3,FALSE
"5",2018-02-03,325.676316415796,40711.6027385361,8523.77484079001,385.454340248948,474545.875379943,"adstockedMedia","1_51_13",3,FALSE
"6",2018-02-10,735.683009533651,36827.8674509387,10113.9781226051,383.664756104208,499166.916857435,"adstockedMedia","1_51_13",3,FALSE
"7",2018-02-17,783.007717329755,112559.439186105,10282.8667556275,109.415601829298,702213.29097243,"adstockedMedia","1_51_13",3,FALSE
"8",2018-02-24,596.663195810469,433.287928230338,8303.46007392458,114.233351847516,650387.746535297,"adstockedMedia","1_51_13",3,FALSE
"9",2018-03-03,597.519185611058,13065.8287324552,9500.46022667874,224.904101538729,512004.286115169,"adstockedMedia","1_51_13",3,FALSE
"10",2018-03-10,705.657654749132,84473.9904869708,10261.465749562,314.312200942184,541253.56616097,"adstockedMedia","1_51_13",3,FALSE
"11",2018-03-17,404.150667637678,11599.5700160981,8880.32995699433,509.760014722483,538467.885016945,"adstockedMedia","1_51_13",3,FALSE
"12",2018-03-24,670.377408190173,58852.186032688,15864.7886410215,684.9711735094,497949.131525118,"adstockedMedia","1_51_13",3,FALSE
"13",2018-03-31,870.443560697048,29648.5642175762,10901.6986865195,926.364890536851,494966.279652746,"adstockedMedia","1_51_13",3,FALSE
"14",2018-04-07,130876.807249699,91930.7076205386,8678.88661989753,150.972852872934,486072.022938781,"adstockedMedia","1_51_13",3,FALSE
"15",2018-04-14,229270.278771364,61200.8321801129,9407.91268656956,453.019146710217,574061.819182172,"adstockedMedia","1_51_13",3,FALSE
"16",2018-04-21,246372.892712695,38665.0563789345,10173.6052732326,73.0714444752097,489986.39824441,"adstockedMedia","1_51_13",3,FALSE
"17",2018-04-28,272385.496017588,27850.9531037372,10171.3740232557,760.17334827106,539877.866570683,"adstockedMedia","1_51_13",3,FALSE
"18",2018-05-05,302570.423210419,51455.2694018049,9751.943420915,881.834889044285,473090.932993556,"adstockedMedia","1_51_13",3,FALSE
"19",2018-05-12,399454.286123429,43871.4164315863,12684.998748198,513.773177788525,412214.045492312,"adstockedMedia","1_51_13",3,FALSE
"20",2018-05-19,414207.698319919,5540.911099952,9798.04042995167,92.5299048419011,434636.51403099,"adstockedMedia","1_51_13",3,FALSE
"21",2018-05-26,406705.28314732,18646.597878595,10931.894873776,136.882446134811,516542.638917351,"adstockedMedia","1_51_13",3,FALSE
"22",2018-06-02,338752.655412846,58711.6646004534,12447.71409286,158.057414380203,404601.669383222,"adstockedMedia","1_51_13",3,FALSE
"23",2018-06-09,315311.30271686,95187.2954478646,11927.2475653874,106.005492499312,431221.898898985,"adstockedMedia","1_51_13",3,FALSE
"24",2018-06-16,290199.313722525,49685.0609251343,11907.8042679948,372.758580476764,397200.67936467,"adstockedMedia","1_51_13",3,FALSE
"25",2018-06-23,304943.074348912,33931.0306247785,11890.0519634772,615.897193047863,448848.119450536,"adstockedMedia","1_51_13",3,FALSE
"26",2018-06-30,349397.097890661,41935.8985224051,15112.6259986784,508.748087902793,433093.315114715,"adstockedMedia","1_51_13",3,FALSE
"27",2018-07-07,455123.200307421,38100.2091124178,12395.5410404758,997.830288324559,382625.436162604,"adstockedMedia","1_51_13",3,FALSE
"28",2018-07-14,539500.976839893,157328.872743008,11819.1788421556,1038.92259981233,515096.438168771,"adstockedMedia","1_51_13",3,FALSE
"29",2018-07-21,462596.342733031,121056.916629548,10383.9484043928,1120.64366361543,421822.350818892,"adstockedMedia","1_51_13",3,FALSE
"30",2018-07-28,440270.869270229,87718.5407127788,10572.967522669,917.021252345497,424884.795608182,"adstockedMedia","1_51_13",3,FALSE
"31",2018-08-04,409375.390412238,100030.775737282,11227.4457638387,720.671987861682,344220.774005737,"adstockedMedia","1_51_13",3,FALSE
"32",2018-08-11,418214.585152293,107281.324855769,10462.7515859133,396.335324891538,403951.787921298,"adstockedMedia","1_51_13",3,FALSE
"33",2018-08-18,573081.45695226,153056.192690484,12657.1755158427,300.179657678908,468965.78394344,"adstockedMedia","1_51_13",3,FALSE
"34",2018-08-25,607655.487057722,295338.744445649,13271.6709065446,500.792415948356,482946.33046888,"adstockedMedia","1_51_13",3,FALSE
"35",2018-09-01,659046.352936669,236636.882580063,13234.2605564388,134.722662464634,397186.379671666,"adstockedMedia","1_51_13",3,FALSE
"36",2018-09-08,632111.593232553,283878.605881496,10707.0408435026,449.756719195858,401563.68743809,"adstockedMedia","1_51_13",3,FALSE
"37",2018-09-15,700677.493465842,200437.963232325,9953.32017790004,323.617234057569,392876.288837705,"adstockedMedia","1_51_13",3,FALSE
"38",2018-09-22,684682.052150331,236509.369659222,8645.8618535508,793.055504954494,380931.871524235,"adstockedMedia","1_51_13",3,FALSE
