"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",71722.0741653141,8104594.38068049,0.773553370853689,71722.0741653141,0.773553370853689,8104594.38068049,0.773553370853689,71722.0741653141,0.773553370853689,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.63491753957,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,"1_31_15",1,31,15,465,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.129452708696867,1550179.47630284,0.147958861726721,13718.4024451578,0.147958861726721,1550179.47630284,0.147958861726721,13718.4024451578,0.147958861726721,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.63491753957,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,"1_31_15",1,31,15,465,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.0440656722447424,-12582.5936856972,-0.00120096173879539,-111.35038659909,-0.00120096173879539,-12582.5936856972,-0.00120096173879539,-111.35038659909,-0.00120096173879539,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.63491753957,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,"1_31_15",1,31,15,465,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","holiday",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.63491753957,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,"1_31_15",1,31,15,465,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","Google_Impressions",18032.0047362132,372624.63475602,0.0355656345943424,3297.5631394338,0.0355656345943424,372624.63475602,0.0355656345943424,3297.5631394338,0.0355656345943424,TRUE,0.743363900415277,0.743363900415277,490276.628318584,55401259,NA,NA,0.724669758837198,0.724669758837198,0.63491753957,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,"1_31_15",1,31,15,465,3,3297.5631394338,646788.964055047,156512.335736463,0.00672592358877656,0.00672592358877656,148.678465760254,148.678465760254,1,FALSE,0.00782942360134586,0.00074135540919751,0,0.019703727690251,0.283034317376755
"6","Facebook_Impressions",21742.5701885754,141574.599049364,0.0135127685825901,1252.87255795898,0.0135127685825901,141574.599049364,0.0135127685825901,1252.87255795898,0.0135127685825901,TRUE,0.244677122195661,0.244677122195661,161373.82300885,18235242,NA,NA,0.275330241162802,0.275330241162802,0.63491753957,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,"1_31_15",1,31,15,465,3,1252.87255795898,170611.519297626,9237.69628877599,0.00776379052437936,0.00776379052437936,128.80306299608,128.80306299608,1,FALSE,0.00891222269670811,0.000954082668229271,0,0.0241936972477182,0.000619629760113064
"7","Affiliate_Impressions",0,0,0,0,0,0,0,0,0,TRUE,0.0119589773890613,0.0119589773890613,7887.3982300885,891276,NA,NA,0,0,0.63491753957,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,"1_31_15",1,31,15,465,3,0,10329.4013169967,2442.00308690825,0,0,Inf,Inf,1,FALSE,0,0,0,0,NA
"8","Organic_Views",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,8051.88495575221,8051.88495575221,NA,NA,0.63491753957,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,"1_31_15",1,31,15,465,3,0,9273.55245359387,1221.66749784165,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"9","Email_Impressions",11799.7361841355,320707.38140059,0.0306103259814535,2838.11841947425,0.0306103259814535,320707.38140059,0.0306103259814535,2838.11841947425,0.0306103259814535,TRUE,NA,NA,NA,NA,389433.016085841,389433.016085841,NA,NA,0.63491753957,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,"1_31_15",1,31,15,465,3,2838.11841947425,442816.131458409,53383.1153725681,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,0.0329445150146188
"10","(Intercept)",78670.1256410432,8889724.19743788,0.853389709593446,78670.1256410432,0.853389709593446,8889724.19743788,0.853389709593446,78670.1256410432,0.853389709593446,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.62829382223,0.00324654193801466,-0.168021306973475,-0.677492906075213,0.159445802793242,0.21636376291705,0.329793925107465,0.21636376291705,0.0195293378242718,0,1508568.64232568,0.2667067309,5654727.87225015,1e-04,"1_47_8",1,47,8,698,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
