"","ds","dep_var","trend","season","holiday","Google_Impressions","Facebook_Impressions","Affiliate_Impressions","Organic_Views","Email_Impressions","intercept","depVarHat","solID","cluster","top_sol"
"1",2018-01-06,59417,9794.59512673476,-1014.94316322702,0,0.876301316129484,22.6141524399711,0,0,2766.83138011486,74167.7870626086,85737.7608599873,"1_51_13",3,FALSE
"2",2018-01-13,56806,9813.5978074546,-1232.21777972553,0,0.337910691967473,0.101753375639075,0,0,4042.07606679334,74167.7870626086,86791.6828211986,"1_51_13",3,FALSE
"3",2018-01-20,48715,9832.60048817444,-1401.37073281976,0,1.80120210051249,8.18137059202408,0,0,3768.37283122214,74167.7870626086,86377.372221878,"1_51_13",3,FALSE
"4",2018-01-27,72047,9851.60316889427,-1513.91252035118,0,0.367731374736804,27.6553218094194,0,0,3657.07080468619,74167.7870626086,86190.571569022,"1_51_13",3,FALSE
"5",2018-02-03,56235,9870.60584961411,-1419.75650120687,0,0.67877551354505,3.89615278288054,0,0,3586.09787862662,74167.7870626086,86209.3092179389,"1_51_13",3,FALSE
"6",2018-02-10,56347,9889.60852860702,-1134.91750582601,0,1.70931580450939,2.89210910226933,0,0,3732.89494435907,74167.7870626086,86659.9744546554,"1_51_13",3,FALSE
"7",2018-02-17,81604,9908.61120759993,-887.093553112445,0,1.83445391178465,79.7998836868926,0,0,4778.81098406072,74167.7870626086,88049.7500387555,"1_51_13",3,FALSE
"8",2018-02-24,80492,9927.61388659284,-865.475787767145,0,1.34813692583728,5.3143811695761e-06,0,0,4537.57256332624,74167.7870626086,87768.8458670008,"1_51_13",3,FALSE
"9",2018-03-03,61804,9946.61656961385,-1004.30699616913,0,1.35032908050038,0.132853199260625,0,0,3807.57584773633,74167.7870626086,86919.1556660694,"1_51_13",3,FALSE
"10",2018-03-10,64944,9965.61925263486,-1079.39581216402,0,1.6304714629673,34.0718350951792,0,0,3973.10208712403,74167.7870626086,87062.8148967616,"1_51_13",3,FALSE
"11",2018-03-17,62945,9984.62193565587,-999.126159003624,0,0.866937059999583,0.0932590483471726,0,0,3957.61016397464,74167.7870626086,87111.8531993438,"1_51_13",3,FALSE
"12",2018-03-24,65018,10003.6246186769,-919.061097734617,0,1.53839898810758,11.6481738644074,0,0,3725.74497697296,74167.7870626086,86991.2821333763,"1_51_13",3,FALSE
"13",2018-03-31,68472,10022.6273020593,-1024.64886974558,0,2.06827989603963,1.51803553504203,0,0,3708.18348153022,74167.7870626086,86877.5352918836,"1_51_13",3,FALSE
"14",2018-04-07,53473,10041.6299854417,-1253.21106205231,0,586.009944912569,43.792688203424,0,0,3655.40921201348,74167.7870626086,87241.4178311275,"1_51_13",3,FALSE
"15",2018-04-14,59351,10060.6326688242,-1326.85395850533,0,1073.2121949525,13.0842788530699,0,0,4151.35476714996,74167.7870626086,88139.217013883,"1_51_13",3,FALSE
"16",2018-04-21,72647,10079.6353495931,-1091.22779634831,0,1158.13395974806,3.34239130099643,0,0,3678.71104004588,74167.7870626086,87996.3820069483,"1_51_13",3,FALSE
"17",2018-04-28,62975,10098.638030362,-751.417892198245,0,1287.03016271878,1.26047445687854,0,0,3965.4585393136,74167.7870626086,88768.7563772616,"1_51_13",3,FALSE
"18",2018-05-05,73440,10117.6407111309,-682.486048097659,0,1435.98560805719,7.81493885822304,0,0,3577.27423087923,74167.7870626086,88624.0165034364,"1_51_13",3,FALSE
"19",2018-05-12,73081,10136.6433918997,-999.719631336305,0,1907.30199179183,4.86546377716032,0,0,3192.71722273955,74167.7870626086,88409.5955014806,"1_51_13",3,FALSE
"20",2018-05-19,63422,10155.6460657952,-1395.11809127254,0,1977.95646977483,0.010371003243466,0,0,3337.89634014682,74167.7870626086,88244.1782180562,"1_51_13",3,FALSE
"21",2018-05-26,65930,10174.6487396907,-1463.63526847091,0,1942.06805139526,0.382438420984075,0,0,3833.67784247749,74167.7870626086,88654.9288661221,"1_51_13",3,FALSE
"22",2018-06-02,67830,10193.6514135862,-1161.75157004972,0,1613.36273827263,11.5657336106077,0,0,3142.47197784813,74167.7870626086,87967.0873558764,"1_51_13",3,FALSE
"23",2018-06-09,72316,10212.6540891124,-857.932863352349,0,1498.60677295342,48.5560889930973,0,0,3316.05742082905,74167.7870626086,88385.7285711442,"1_51_13",3,FALSE
"24",2018-06-16,66903,10231.6567646386,-897.662290670996,0,1375.03147589897,7.04275913174795,0,0,3093.15224805329,74167.7870626086,87977.0080196603,"1_51_13",3,FALSE
"25",2018-06-23,68825,10250.6594401649,-1186.60858885429,0,1447.65949146149,2.26702025576478,0,0,3427.76011590024,74167.7870626086,88109.5245415367,"1_51_13",3,FALSE
"26",2018-06-30,90421,10269.6621156911,-1296.02110463338,0,1665.258791437,4.2548300049217,0,0,3328.03840247048,74167.7870626086,88138.9800975788,"1_51_13",3,FALSE
"27",2018-07-07,47768,10288.6647999675,-987.042413261397,0,2172.13418850862,3.19933709963238,0,0,2994.66057405971,74167.7870626086,88639.4035489826,"1_51_13",3,FALSE
"28",2018-07-14,110359,10307.6674842438,-539.012681546206,0,2563.76154551654,214.494743776561,0,0,3825.37701116274,74167.7870626086,90540.0751657621,"1_51_13",3,FALSE
"29",2018-07-21,111259,10326.6701685202,-467.842753277587,0,2207.30900065938,98.9812735346802,0,0,3255.44135217872,74167.7870626086,89588.346104224,"1_51_13",3,FALSE
"30",2018-07-28,69277,10345.6728503684,-924.891232532078,0,2101.95582580779,38.1039062536687,0,0,3275.27119570117,74167.7870626086,89003.8996082076,"1_51_13",3,FALSE
"31",2018-08-04,73348,10364.6755322167,-1463.05198477372,0,1954.85048867325,56.2544091165557,0,0,2726.39130731955,74167.7870626086,87806.9068151609,"1_51_13",3,FALSE
"32",2018-08-11,59450,10383.678214065,-1470.48348382445,0,1997.08863437675,69.2187002685299,0,0,3138.15979336052,74167.7870626086,88285.4489208549,"1_51_13",3,FALSE
"33",2018-08-18,85245,10402.6808959133,-824.894762499663,0,2716.13234865188,197.802277977299,0,0,3552.1654632798,74167.7870626086,90211.6732859312,"1_51_13",3,FALSE
"34",2018-08-25,96340,10421.6835834043,-54.8395995398515,0,2870.86693748421,1317.83981550209,0,0,3636.71635833513,74167.7870626086,92360.0541577945,"1_51_13",3,FALSE
"35",2018-09-01,87248,10440.6862708953,184.963207121938,0,3096.78493642921,704.130383620642,0,0,3093.05650594765,74167.7870626086,91687.4083666233,"1_51_13",3,FALSE
"36",2018-09-08,72504,10459.6889583863,-219.374666658003,0,2978.98924726848,1180.10996901474,0,0,3122.28323462783,74167.7870626086,91689.483805248,"1_51_13",3,FALSE
"37",2018-09-15,102759,10478.6916458773,-727.23994336857,0,3276.19105612333,435.753706417546,0,0,3064.11946167823,74167.7870626086,90695.3029893365,"1_51_13",3,FALSE
"38",2018-09-22,94933,10497.6943264421,-695.732316755263,0,3207.64302160354,703.042250713267,0,0,2983.09854831948,74167.7870626086,90863.5328929317,"1_51_13",3,FALSE
"39",2018-09-29,99169,10516.6970070069,-26.0885577863303,0,3652.19303291785,569.496599871826,0,0,2705.14380530949,74167.7870626086,91585.2289499283,"1_51_13",3,FALSE
"40",2018-10-06,116818,10535.6996875716,746.593710428976,0,3610.59329576124,49.353333187325,0,0,2488.01394328818,74167.7870626086,91598.0410328459,"1_51_13",3,FALSE
"41",2018-10-13,105914,10554.7023713571,1000.88486239734,0,3221.86553567944,103.770038836552,0,0,2444.68066600765,74167.7870626086,91493.6905368866,"1_51_13",3,FALSE
"42",2018-10-20,128191,10573.7050551425,676.940957752432,0,3984.71893732114,67.7739687628391,0,0,2405.94707952281,74167.7870626086,91876.8730611103,"1_51_13",3,FALSE
"43",2018-10-27,112396,10592.7077389279,411.867525367654,0,3816.83947383112,85.3912486804746,0,0,2516.18786683165,74167.7870626086,91590.7809162474,"1_51_13",3,FALSE
"44",2018-11-03,156591,10611.7104227134,1032.3704115522,0,3460.72891951437,278.671881367297,0,0,2485.11773465383,74167.7870626086,92036.3864324097,"1_51_13",3,FALSE
"45",2018-11-10,186876,10630.7131021448,2833.80565291557,0,4966.68734553647,400.289282539073,0,0,4282.99938655967,74167.7870626086,97282.2818323042,"1_51_13",3,FALSE
"46",2018-11-17,208474,10649.7157815762,5236.09967013295,0,6792.7286058138,1180.36303972812,0,0,4430.95030130751,74167.7870626086,102457.644461167,"1_51_13",3,FALSE
"47",2018-11-24,338311,10668.7184610076,7091.82853383517,0,7429.46594357394,10534.9667737123,0,0,4499.08623010983,74167.7870626086,114391.853004847,"1_51_13",3,FALSE
"48",2018-12-01,266300,10687.7220156152,7421.67836522429,0,6081.14436358063,116.503566536219,0,0,5094.46886389177,74167.7870626086,103569.304237457,"1_51_13",3,FALSE
"49",2018-12-08,187382,10706.7255702228,6044.09020470482,0,3685.93811754393,18.7015097298432,0,0,3916.54045692115,74167.7870626086,98539.7829217312,"1_51_13",3,FALSE
"50",2018-12-15,190487,10725.7291248304,3653.08301682281,0,2798.56330260024,172.893333915391,0,0,3283.55520435057,74167.7870626086,94801.611045128,"1_51_13",3,FALSE
"51",2018-12-22,109947,10744.732679438,1310.1670961469,0,2385.9869516046,12.9083896528811,0,0,3132.6844225605,74167.7870626086,91754.2666020115,"1_51_13",3,FALSE
"52",2018-12-29,66448,10763.7379098645,-246.408064638287,0,2426.24333323659,5.94090432741615,0,0,3971.42096489164,74167.7870626086,91088.7221102905,"1_51_13",3,FALSE
"53",2019-01-05,69510,10782.743140291,-950.678450382389,0,2260.70362473051,0.440310527792557,0,0,4069.6063589096,74167.7870626086,90330.6020466851,"1_51_13",3,FALSE
"54",2019-01-12,55500,10801.7483707175,-1201.95032874429,0,2159.50159930655,4.02026545132465,0,0,3372.17814037782,74167.7870626086,89303.2851097175,"1_51_13",3,FALSE
"55",2019-01-19,82436,10821.1648177456,-1371.25994287863,0,2276.87013394414,35.2127017991482,0,0,3831.12491818031,74167.7870626086,89760.8996913992,"1_51_13",3,FALSE
"56",2019-01-26,70817,10840.5812647738,-1505.42904007756,0,2214.16395475174,1093.0489800063,0,0,3385.83066793588,74167.7870626086,90195.9828899987,"1_51_13",3,FALSE
"57",2019-02-02,68198,10859.9977118019,-1454.56993950392,0,2559.25170365866,440.47055422168,0,0,3226.2602569975,74167.7870626086,89799.1973497844,"1_51_13",3,FALSE
"58",2019-02-09,64101,10879.4141588301,-1190.97737544788,0,2170.92033815134,85.6858296110376,0,0,3218.00074756126,74167.7870626086,89330.8307613144,"1_51_13",3,FALSE
"59",2019-02-16,103598,10901.0381708732,-917.410492983045,0,1778.81557612037,105.822850567892,0,0,3828.70106959706,74167.7870626086,89864.7542367841,"1_51_13",3,FALSE
"60",2019-02-23,81055,10922.6621829163,-852.11610792364,0,1806.84605695538,4.55877891412285,0,0,2920.04018316773,74167.7870626086,88969.7781566385,"1_51_13",3,FALSE
"61",2019-03-02,74590,10944.2861949594,-977.823269049679,0,2422.62800409078,0.696424883499248,0,0,3521.07413961454,74167.7870626086,90078.6485571072,"1_51_13",3,FALSE
"62",2019-03-09,59796,10965.9102070025,-1078.29673309145,0,2560.48944664573,2.72025475970104,0,0,3429.3821011254,74167.7870626086,90047.9923390505,"1_51_13",3,FALSE
"63",2019-03-16,87191,10992.4866840453,-1020.26430236548,0,2708.29186601084,17.4002927976207,0,0,3217.36179567139,74167.7870626086,90083.0633987682,"1_51_13",3,FALSE
"64",2019-03-23,82885,11019.063161088,-922.91794599838,0,3039.34685147419,28.1407840034737,0,0,3188.19773956736,74167.7870626086,90519.6176527432,"1_51_13",3,FALSE
"65",2019-03-30,67061,11045.6396381307,-990.812391919988,0,2360.17506842475,71.9156750089532,0,0,3687.76301701729,74167.7870626086,90342.4680692703,"1_51_13",3,FALSE
"66",2019-04-06,79718,11078.5787967593,-1215.0918541254,0,2438.62123507409,10.7337415410435,0,0,3314.12066242951,74167.7870626086,89794.7496442871,"1_51_13",3,FALSE
"67",2019-04-13,55278,11111.5179553879,-1336.30013526043,0,2806.53640527038,38.7402135858461,0,0,3195.36305935349,74167.7870626086,89983.6445609458,"1_51_13",3,FALSE
"68",2019-04-20,75983,11144.4571140165,-1151.36926683035,0,3023.66842623305,110.71542959602,0,0,3372.14045832664,74167.7870626086,90667.3992239504,"1_51_13",3,FALSE
