"","Division","Calendar_Week","Paid_Views","Organic_Views","Google_Impressions","Email_Impressions","Facebook_Impressions","Affiliate_Impressions","Overall_Views","Sales","DATE"
"1","A","1/6/2018",392,422,408,349895.0107,73580,12072,682,59417,2018-01-06
"2","A","1/13/2018",787,904,110,506270.2176,11804,9499,853,56806,2018-01-13
"3","A","1/20/2018",81,970,742,430042.1538,52232,17048,759,48715,2018-01-20
"4","A","1/27/2018",25,575,65,417745.6658,78640,10207,942,72047,2018-01-27
"5","A","2/3/2018",565,284,295,408505.8012,40561,5834,658,56235,2018-02-03
"6","A","2/10/2018",256,330,683,434729.755,36750,8469,691,56347,2018-02-10
"7","A","2/17/2018",886,56,664,634432.9117,112489,8331,685,81604,2018-02-17
"8","A","2/24/2018",336,99,470,555036.3088,218,6319,569,80492,2018-02-24
"9","A","3/3/2018",305,209,501,423690.0837,13065,7898,772,61804,2018-03-03
"10","A","3/10/2018",955,283,609,471730.039,84449,8428,833,64944,2018-03-10
"11","A","3/17/2018",650,466,290,464972.6858,11438,6900,978,62945,2018-03-17
"12","A","3/24/2018",962,614,605,424832.1916,58830,14151,196,65018,2018-03-24
"13","A","3/31/2018",674,831,762,427351.2598,29536,7840,571,68472,2018-03-31
"14","A","4/7/2018",604,22,130736,418862.0356,91874,6575,737,53473,2018-04-07
"15","A","4/14/2018",342,432,208099,508059.5563,61025,7733,550,59351,2018-04-14
"16","A","4/21/2018",833,10,209285,412036.2647,38548,8358,792,72647,2018-04-21
"17","A","4/28/2018",868,750,232531,473344.0824,27777,8208,905,62975,2018-04-28
"18","A","5/5/2018",20,776,258508,399782.5359,51402,7789,741,73440,2018-05-05
"19","A","5/12/2018",704,391,350509,347974.4459,43773,10803,698,73081,2018-05-12
"20","A","5/19/2018",554,21,349590,378663.2045,5457,7350,990,63422,2018-05-19
"21","A","5/26/2018",903,124,339701,457524.6496,18636,9041,333,65930,2018-05-26
"22","A","6/2/2018",926,139,272962,334461.8929,58676,10338,611,67830,2018-06-02
"23","A","6/9/2018",273,84,260513,376282.2511,95075,9525,481,72316,2018-06-09
"24","A","6/16/2018",929,358,239193,338646.3504,49503,9606,805,66903,2018-06-16
"25","A","6/23/2018",261,564,257999,394913.4299,33836,9592,913,68825,2018-06-23
"26","A","6/30/2018",160,423,300068,372145.5745,41871,12818,413,90421,2018-06-30
"27","A","7/7/2018",489,927,398603,323816.9932,38020,9479,574,47768,2018-07-07
"28","A","7/14/2018",196,900,465878,463140.8772,157256,9427,468,110359,2018-07-14
"29","A","7/21/2018",843,976,375324,351878.9496,120756,8103,121,111259,2018-07-21
"30","A","7/28/2018",417,761,365439,367606.8031,87487,8569,470,69277,2018-07-28
"31","A","8/4/2018",971,593,338155,286526.9413,99863,9187,582,73348,2018-08-04
"32","A","8/11/2018",640,296,351992,357211.0809,107090,8296,550,59450,2018-08-11
"33","A","8/18/2018",138,245,505429,414114.3816,152851,10638,712,85245,2018-08-18
"34","A","8/25/2018",58,459,514951,419266.8725,295046,10829,438,96340,2018-08-25
"35","A","9/1/2018",766,65,560749,331608.5452,236072,10673,511,87248,2018-09-01
"36","A","9/8/2018",947,431,525501,347630.9396,283426,8153,706,72504,2018-09-08
"37","A","9/15/2018",403,261,598424,338349.1595,199895,7887,128,102759,2018-09-15
"38","A","9/22/2018",111,748,571337,327584.378,236126,6725,903,94933,2018-09-22
"39","A","9/29/2018",441,759,679729,289529.4984,219372,7695,145,99169,2018-09-29
"40","A","10/6/2018",692,540,652498,265198.8945,95291,6387,804,116818,2018-10-06
"41","A","10/13/2018",121,1452,561755,263425.5333,122823,6428,1220,105914,2018-10-13
"42","A","10/20/2018",305,2183,761769,259054.8016,106285,6012,2030,128191,2018-10-20
"43","A","10/27/2018",937,1378,689753,274521.3176,114960,4735,1821,112396,2018-10-27
"44","A","11/3/2018",247,1720,609882,268329.1062,171775,5295,2034,156591,2018-11-03
"45","A","11/10/2018",337,4371,1016756,556982.1233,194349,5073,4781,186876,2018-11-10
"46","A","11/17/2018",597,3605,1552213,547177.7689,283528,4760,3978,208474,2018-11-17
"47","A","11/24/2018",798,1815,1709493,557083.5716,743909,4953,3169,338311,2018-11-24
"48","A","12/1/2018",1738,1511,1160722,688442.588,126493,5750,2574,266300,2018-12-01
"49","A","12/8/2018",24788,1632,558879,425805.1255,68776,5247,26253,187382,2018-12-08
"50","A","12/15/2018",20699,2982,462233,354046.9198,146088,4837,23170,190487,2018-12-15
"51","A","12/22/2018",9967,3548,405196,345259.3411,60643,5060,12683,109947,2018-12-22
"52","A","12/29/2018",7077,3641,428545,486211.3229,46804,5208,10368,66448,2018-12-29
"53","A","1/5/2019",6132,3471,391548,485385.8465,19462,6301,7952,69510,2019-01-05
"54","A","1/12/2019",9731,2608,375771,364144.0227,41106,7589,12014,55500,2019-01-12
"55","A","1/19/2019",9712,1968,404244,456347.5893,85338,9046,12311,82436,2019-01-19
"56","A","1/26/2019",11771,3519,386823,372105.2166,276066,11929,14949,70817,2019-01-26
"57","A","2/2/2019",6761,2397,463446,357294.6322,200653,10255,8855,68198,2019-02-02
"58","A","2/9/2019",8520,2620,367753,359403.8152,114913,9686,10207,64101,2019-02-09
"59","A","2/16/2019",12710,3839,299212,459177.9556,123603,9054,16079,103598,2019-02-16
"60","A","2/23/2019",5701,3091,318287,301736.0446,42684,8391,6999,81055,2019-02-23
"61","A","3/2/2019",500,2885,447543,413408.4366,22730,8887,2863,74590,2019-03-02
"62","A","3/9/2019",620,2187,456481,386117.044,36033,8725,2269,59796,2019-03-09
"63","A","3/16/2019",401,4223,484186,354992.1769,67296,11077,4330,87191,2019-03-16
"64","A","3/23/2019",784,5680,553451,355042.2755,79074,9375,6455,82885,2019-03-23
"65","A","3/30/2019",554,7524,390828,435632.5112,108523,8684,7543,67061,2019-03-30
"66","A","4/6/2019",3179,8439,432125,364178.8038,57047,8476,11929,79718,2019-04-06
